PID,CRIM,AC,INDUS,LS,PR,RM,AGE,DIS,RAD,PTRATIO,DMT,LSTAT,MO,TAX
37,0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,17.9,392.74,18.8,0,
38,0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,17.9,396.9,14.15,0,
39,0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,17.9,396.9,10.21,0,
40,0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,17.9,389.39,9.55,0,
41,0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,17.9,394.46,7.44,0,
42,0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,17.9,12.2,5.81,0,
43,0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,17.9,385.41,4.84,0,
44,0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,18.3,14.5,1.98,0,
45,0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,18.3,395.63,4.32,8,
46,0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,19.2,393.43,10.13,7,
47,0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,19.2,396.9,8.77,1,
48,0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,19.2,377.56,11.41,0,
49,0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,19.2,396.9,9.68,9,
50,1.61282,0,8.14,0,0.538,6.096,,3.7598,4,21,248.31,20.34,5,
51,1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,21,358.77,18.35,1,
52,1.38799,0,8.14,1,0.538,5.95,,3.99,4,21,232.6,27.71,2,
53,1.35472,0,8.14,0,0.538,6.072,100,4.175,4,21,376.73,13.04,5,
54,1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,21,360.17,22.6,7,
55,1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,21,289,11.98,1,
56,0.77299,0,8.14,1,0.538,6.495,94.4,4.4547,4,21,387.94,12.8,0,
57,0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,21,306.38,17.28,0,
58,0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,21,33,14.81,0,
59,0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,21,303.42,16.51,0,
60,0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,21,394.33,16.3,0,
61,0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,21,394.54,19.88,0,
62,1.23247,0,8.14,1,0.538,6.142,91.7,3.9769,4,21,396.9,18.72,0,
63,0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,21,30,13.83,0,
64,1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,21,376.57,21.02,0,
65,0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,21,390.95,11.28,0,
66,0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,21,32.3,11.69,0,
67,0.7842,0,8.14,1,0.538,5.99,81.7,4.2579,4,21,386.75,14.67,0,
68,1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,21,386.85,6.58,0,
69,0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,21,55.2,8.47,0,
70,0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,21,380.02,10.26,0,
71,0.62976,0,8.14,1,0.538,5.949,61.8,4.7075,4,21,396.9,8.26,0,
72,0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,15.2,49,15.71,0,
73,0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,15.2,396.9,13.27,0,
74,0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,15.2,392.52,20.45,0,
75,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,15.2,46.7,17.1,0,
76,0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,15.2,386.63,29.93,0,
77,0.14455,12.5,7.87,1,0.524,6.172,,5.9505,5,15.2,396.9,19.15,0,
78,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,15.2,395.6,12.43,0,
79,0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,18.7,394.12,5.21,0,
80,0.06905,0,2.18,1,0.458,7.147,54.2,6.0622,3,18.7,396.9,5.33,0,
81,0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,18.7,394.63,2.94,0,
82,0.02729,0,7.07,1,0.469,7.185,61.1,4.9671,2,17.8,292.4,4.03,3,
83,0.02731,0,7.07,1,0.469,6.421,78.9,4.9671,2,17.8,396.9,9.14,2,
84,0.00632,18,2.31,1,0.538,6.575,65.2,4.09,1,15.3,396.9,4.98,2,
